mcu,pin,function,alias
STM32F303K8Tx,PA8,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA8,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA8,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA8,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA8,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA9,DAC1_EXTI9,DAC_EXTI
STM32F303K8Tx,PA9,DAC2_EXTI9,DAC_EXTI
STM32F303K8Tx,PA9,TIM15_BKIN,TIM_BKIN
STM32F303K8Tx,PA9,TIM1_CH2,TIM_CH
STM32F303K8Tx,PA9,TIM2_CH3,TIM_CH
STM32F303K8Tx,PA9,TSC_G4_IO1,TSC_G_IO
STM32F303K8Tx,PA9,USART1_TX,USART_TX
STM32F303K8Tx,PA9,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA9,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA9,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA9,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA9,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA10,TIM17_BKIN,TIM_BKIN
STM32F303K8Tx,PA10,TIM1_CH3,TIM_CH
STM32F303K8Tx,PA10,TIM2_CH4,TIM_CH
STM32F303K8Tx,PA10,TSC_G4_IO2,TSC_G_IO
STM32F303K8Tx,PA10,USART1_RX,USART_RX
STM32F303K8Tx,PA10,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA10,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA10,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA10,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA10,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA11,CAN_RX,CAN_RX
STM32F303K8Tx,PA11,TIM1_BKIN2,TIM_BKIN
STM32F303K8Tx,PA11,TIM1_CH1N,TIM_CHN
STM32F303K8Tx,PA11,TIM1_CH4,TIM_CH
STM32F303K8Tx,PA11,USART1_CTS,USART_CTS
STM32F303K8Tx,PA11,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA11,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA11,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA11,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA11,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA12,CAN_TX,CAN_TX
STM32F303K8Tx,PA12,COMP2_OUT,COMP_OUT
STM32F303K8Tx,PA12,TIM16_CH1,TIM_CH
STM32F303K8Tx,PA12,TIM1_CH2N,TIM_CHN
STM32F303K8Tx,PA12,TIM1_ETR,TIM_ETR
STM32F303K8Tx,PA12,USART1_DE,USART_DE
STM32F303K8Tx,PA12,USART1_RTS,USART_RTS
STM32F303K8Tx,PA12,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA12,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA12,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA12,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA12,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA13,IR_OUT,IR_OUT
STM32F303K8Tx,PA13,SYS_JTMS-SWDIO,SWDIO
STM32F303K8Tx,PA13,TIM16_CH1N,TIM_CHN
STM32F303K8Tx,PA13,TSC_G4_IO3,TSC_G_IO
STM32F303K8Tx,PA13,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA13,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA13,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA13,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA13,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA14,I2C1_SDA,I2C_SDA
STM32F303K8Tx,PA14,SYS_JTCK-SWCLK,SWCLK
STM32F303K8Tx,PA14,TIM1_BKIN,TIM_BKIN
STM32F303K8Tx,PA14,TSC_G4_IO4,TSC_G_IO
STM32F303K8Tx,PA14,USART2_TX,USART_TX
STM32F303K8Tx,PA14,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA14,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA14,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA14,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA14,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA15,I2C1_SCL,I2C_SCL
STM32F303K8Tx,PA15,SPI1_NSS,SPI_NSS
STM32F303K8Tx,PA15,SYS_JTDI,JTDI
STM32F303K8Tx,PA15,TIM1_BKIN,TIM_BKIN
STM32F303K8Tx,PA15,TIM2_CH1,TIM_CH
STM32F303K8Tx,PA15,TIM2_ETR,TIM_ETR
STM32F303K8Tx,PA15,TSC_SYNC,TSC_SYNC
STM32F303K8Tx,PA15,USART2_RX,USART_RX
STM32F303K8Tx,PA15,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA15,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA15,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA15,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA15,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PB3,SPI1_SCK,SPI_SCK
STM32F303K8Tx,PB3,SYS_JTDO-TRACESWO,SWO
STM32F303K8Tx,PB3,TIM2_CH2,TIM_CH
STM32F303K8Tx,PB3,TIM3_ETR,TIM_ETR
STM32F303K8Tx,PB3,TSC_G5_IO1,TSC_G_IO
STM32F303K8Tx,PB3,USART2_TX,USART_TX
STM32F303K8Tx,PB3,GPIO_Input,GPIO_Input
STM32F303K8Tx,PB3,GPIO_Output,GPIO_Output
STM32F303K8Tx,PB3,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PB3,EVENTOUT,EVENTOUT
STM32F303K8Tx,PB3,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PB4,SPI1_MISO,SPI_MISO
STM32F303K8Tx,PB4,SYS_NJTRST,NJTRST
STM32F303K8Tx,PB4,TIM16_CH1,TIM_CH
STM32F303K8Tx,PB4,TIM17_BKIN,TIM_BKIN
STM32F303K8Tx,PB4,TIM3_CH1,TIM_CH
STM32F303K8Tx,PB4,TSC_G5_IO2,TSC_G_IO
STM32F303K8Tx,PB4,USART2_RX,USART_RX
STM32F303K8Tx,PB4,GPIO_Input,GPIO_Input
STM32F303K8Tx,PB4,GPIO_Output,GPIO_Output
STM32F303K8Tx,PB4,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PB4,EVENTOUT,EVENTOUT
STM32F303K8Tx,PB4,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PB5,I2C1_SMBA,I2C_SMBA
STM32F303K8Tx,PB5,SPI1_MOSI,SPI_MOSI
STM32F303K8Tx,PB5,TIM16_BKIN,TIM_BKIN
STM32F303K8Tx,PB5,TIM17_CH1,TIM_CH
STM32F303K8Tx,PB5,TIM3_CH2,TIM_CH
STM32F303K8Tx,PB5,USART2_CK,USART_CK
STM32F303K8Tx,PB5,GPIO_Input,GPIO_Input
STM32F303K8Tx,PB5,GPIO_Output,GPIO_Output
STM32F303K8Tx,PB5,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PB5,EVENTOUT,EVENTOUT
STM32F303K8Tx,PB5,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PB6,I2C1_SCL,I2C_SCL
STM32F303K8Tx,PB6,TIM16_CH1N,TIM_CHN
STM32F303K8Tx,PB6,TSC_G5_IO3,TSC_G_IO
STM32F303K8Tx,PB6,USART1_TX,USART_TX
STM32F303K8Tx,PB6,GPIO_Input,GPIO_Input
STM32F303K8Tx,PB6,GPIO_Output,GPIO_Output
STM32F303K8Tx,PB6,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PB6,EVENTOUT,EVENTOUT
STM32F303K8Tx,PB6,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PB7,I2C1_SDA,I2C_SDA
STM32F303K8Tx,PB7,TIM17_CH1N,TIM_CHN
STM32F303K8Tx,PB7,TIM3_CH4,TIM_CH
STM32F303K8Tx,PB7,TSC_G5_IO4,TSC_G_IO
STM32F303K8Tx,PB7,USART1_RX,USART_RX
STM32F303K8Tx,PB7,GPIO_Input,GPIO_Input
STM32F303K8Tx,PB7,GPIO_Output,GPIO_Output
STM32F303K8Tx,PB7,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PB7,EVENTOUT,EVENTOUT
STM32F303K8Tx,PB7,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PC13,RTC_AF1,RTC_AF
STM32F446RETx,PC13,SYS_WKUP1,SYS_WKUP
STM32F446RETx,PC13,GPIO_Input,GPIO_Input
STM32F446RETx,PC13,GPIO_Output,GPIO_Output
STM32F446RETx,PC13,GPIO_Analog,GPIO_Analog
STM32F446RETx,PC13,EVENTOUT,EVENTOUT
STM32F446RETx,PC13,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PC14,RCC_OSC32_IN,RCC_OSC_IN
STM32F446RETx,PC14,GPIO_Input,GPIO_Input
STM32F446RETx,PC14,GPIO_Output,GPIO_Output
STM32F446RETx,PC14,GPIO_Analog,GPIO_Analog
STM32F446RETx,PC14,EVENTOUT,EVENTOUT
STM32F446RETx,PC14,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PC15,ADC1_EXTI15,ADC_EXTI
STM32F446RETx,PC15,ADC2_EXTI15,ADC_EXTI
STM32F446RETx,PC15,ADC3_EXTI15,ADC_EXTI
STM32F446RETx,PC15,RCC_OSC32_OUT,RCC_OSC_OUT
STM32F446RETx,PC15,GPIO_Input,GPIO_Input
STM32F446RETx,PC15,GPIO_Output,GPIO_Output
STM32F446RETx,PC15,GPIO_Analog,GPIO_Analog
STM32F446RETx,PC15,EVENTOUT,EVENTOUT
STM32F446RETx,PC15,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PH0,RCC_OSC_IN,RCC_OSC_IN
STM32F446RETx,PH0,GPIO_Input,GPIO_Input
STM32F446RETx,PH0,GPIO_Output,GPIO_Output
STM32F446RETx,PH0,GPIO_Analog,GPIO_Analog
STM32F446RETx,PH0,EVENTOUT,EVENTOUT
STM32F446RETx,PH0,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PH1,RCC_OSC_OUT,RCC_OSC_OUT
STM32F446RETx,PH1,GPIO_Input,GPIO_Input
STM32F446RETx,PH1,GPIO_Output,GPIO_Output
STM32F446RETx,PH1,GPIO_Analog,GPIO_Analog
STM32F446RETx,PH1,EVENTOUT,EVENTOUT
STM32F446RETx,PH1,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PC0,ADC1_IN10,ADC_IN
STM32F446RETx,PC0,ADC2_IN10,ADC_IN
STM32F446RETx,PC0,ADC3_IN10,ADC_IN
STM32F446RETx,PC0,SAI1_MCLK_B,SAI_MCLK_B
STM32F446RETx,PC0,USB_OTG_HS_ULPI_STP,USB_OTG_HS_ULPI_STP
STM32F446RETx,PC0,GPIO_Input,GPIO_Input
STM32F446RETx,PC0,GPIO_Output,GPIO_Output
STM32F446RETx,PC0,GPIO_Analog,GPIO_Analog
STM32F446RETx,PC0,EVENTOUT,EVENTOUT
STM32F446RETx,PC0,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PC1,ADC1_IN11,ADC_IN
STM32F446RETx,PC1,ADC2_IN11,ADC_IN
STM32F446RETx,PC1,ADC3_IN11,ADC_IN
STM32F446RETx,PC1,I2S2_SD,I2S_SD
STM32F446RETx,PC1,I2S3_SD,I2S_SD
STM32F446RETx,PC1,SAI1_SD_A,SAI_SD_A
STM32F446RETx,PC1,SPI2_MOSI,SPI_MOSI
STM32F446RETx,PC1,SPI3_MOSI,SPI_MOSI
STM32F446RETx,PC1,GPIO_Input,GPIO_Input
STM32F446RETx,PC1,GPIO_Output,GPIO_Output
STM32F446RETx,PC1,GPIO_Analog,GPIO_Analog
STM32F446RETx,PC1,EVENTOUT,EVENTOUT
STM32F446RETx,PC1,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PC2,ADC1_IN12,ADC_IN
STM32F446RETx,PC2,ADC2_IN12,ADC_IN
STM32F446RETx,PC2,ADC3_IN12,ADC_IN
STM32F446RETx,PC2,SPI2_MISO,SPI_MISO
STM32F446RETx,PC2,USB_OTG_HS_ULPI_DIR,USB_OTG_HS_ULPI_DIR
STM32F446RETx,PC2,GPIO_Input,GPIO_Input
STM32F446RETx,PC2,GPIO_Output,GPIO_Output
STM32F446RETx,PC2,GPIO_Analog,GPIO_Analog
STM32F446RETx,PC2,EVENTOUT,EVENTOUT
STM32F446RETx,PC2,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PC3,ADC1_IN13,ADC_IN
STM32F446RETx,PC3,ADC2_IN13,ADC_IN
STM32F446RETx,PC3,ADC3_IN13,ADC_IN
STM32F446RETx,PC3,I2S2_SD,I2S_SD
STM32F446RETx,PC3,SPI2_MOSI,SPI_MOSI
STM32F446RETx,PC3,USB_OTG_HS_ULPI_NXT,USB_OTG_HS_ULPI_NXT
STM32F446RETx,PC3,GPIO_Input,GPIO_Input
STM32F446RETx,PC3,GPIO_Output,GPIO_Output
STM32F446RETx,PC3,GPIO_Analog,GPIO_Analog
STM32F446RETx,PC3,EVENTOUT,EVENTOUT
STM32F446RETx,PC3,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PA0,ADC1_IN0,ADC_IN
STM32F446RETx,PA0,ADC2_IN0,ADC_IN
STM32F446RETx,PA0,ADC3_IN0,ADC_IN
STM32F446RETx,PA0,RTC_AF2,RTC_AF
STM32F446RETx,PA0,SYS_WKUP0,SYS_WKUP
STM32F446RETx,PA0,TIM2_CH1,TIM_CH
STM32F446RETx,PA0,TIM2_ETR,TIM_ETR
STM32F446RETx,PA0,TIM5_CH1,TIM_CH
STM32F446RETx,PA0,TIM8_ETR,TIM_ETR
STM32F446RETx,PA0,UART4_TX,UART_TX
STM32F446RETx,PA0,USART2_CTS,USART_CTS
STM32F446RETx,PA0,GPIO_Input,GPIO_Input
STM32F446RETx,PA0,GPIO_Output,GPIO_Output
STM32F446RETx,PA0,GPIO_Analog,GPIO_Analog
STM32F446RETx,PA0,EVENTOUT,EVENTOUT
STM32F446RETx,PA0,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PA1,ADC1_IN1,ADC_IN
STM32F446RETx,PA1,ADC2_IN1,ADC_IN
STM32F446RETx,PA1,ADC3_IN1,ADC_IN
STM32F446RETx,PA1,QUADSPI_BK1_IO3,QUADSPI_BK_IO
STM32F446RETx,PA1,TIM2_CH2,TIM_CH
STM32F446RETx,PA1,TIM5_CH2,TIM_CH
STM32F446RETx,PA1,UART4_RX,UART_RX
STM32F446RETx,PA1,USART2_RTS,USART_RTS
STM32F446RETx,PA1,GPIO_Input,GPIO_Input
STM32F446RETx,PA1,GPIO_Output,GPIO_Output
STM32F446RETx,PA1,GPIO_Analog,GPIO_Analog
STM32F446RETx,PA1,EVENTOUT,EVENTOUT
STM32F446RETx,PA1,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PA2,ADC1_IN2,ADC_IN
STM32F446RETx,PA2,ADC2_IN2,ADC_IN
STM32F446RETx,PA2,ADC3_IN2,ADC_IN
STM32F446RETx,PA2,TIM2_CH3,TIM_CH
STM32F446RETx,PA2,TIM5_CH3,TIM_CH
STM32F446RETx,PA2,TIM9_CH1,TIM_CH
STM32F446RETx,PA2,USART2_TX,USART_TX
STM32F446RETx,PA2,GPIO_Input,GPIO_Input
STM32F446RETx,PA2,GPIO_Output,GPIO_Output
STM32F446RETx,PA2,GPIO_Analog,GPIO_Analog
STM32F446RETx,PA2,EVENTOUT,EVENTOUT
STM32F446RETx,PA2,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PA3,ADC1_IN3,ADC_IN
STM32F446RETx,PA3,ADC2_IN3,ADC_IN
STM32F446RETx,PA3,ADC3_IN3,ADC_IN
STM32F446RETx,PA3,SAI1_FS_A,SAI_FS_A
STM32F446RETx,PA3,TIM2_CH4,TIM_CH
STM32F446RETx,PA3,TIM5_CH4,TIM_CH
STM32F446RETx,PA3,TIM9_CH2,TIM_CH
STM32F446RETx,PA3,USART2_RX,USART_RX
STM32F446RETx,PA3,USB_OTG_HS_ULPI_D0,USB_OTG_HS_ULPI_D
STM32F446RETx,PA3,GPIO_Input,GPIO_Input
STM32F446RETx,PA3,GPIO_Output,GPIO_Output
STM32F446RETx,PA3,GPIO_Analog,GPIO_Analog
STM32F446RETx,PA3,EVENTOUT,EVENTOUT
STM32F446RETx,PA3,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PA4,ADC1_IN4,ADC_IN
STM32F446RETx,PA4,ADC2_IN4,ADC_IN
STM32F446RETx,PA4,DAC_OUT1,DAC_OUT
STM32F446RETx,PA4,DCMI_HSYNC,DCMI_HSYNC
STM32F446RETx,PA4,I2S1_WS,I2S_WS
STM32F446RETx,PA4,I2S3_WS,I2S_WS
STM32F446RETx,PA4,SPI1_NSS,SPI_NSS
STM32F446RETx,PA4,SPI3_NSS,SPI_NSS
STM32F446RETx,PA4,USART2_CK,USART_CK
STM32F446RETx,PA4,USB_OTG_HS_SOF,USB_OTG_HS_SOF
STM32F446RETx,PA4,GPIO_Input,GPIO_Input
STM32F446RETx,PA4,GPIO_Output,GPIO_Output
STM32F446RETx,PA4,GPIO_Analog,GPIO_Analog
STM32F446RETx,PA4,EVENTOUT,EVENTOUT
STM32F446RETx,PA4,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PA5,ADC1_IN5,ADC_IN
STM32F446RETx,PA5,ADC2_IN5,ADC_IN
STM32F446RETx,PA5,DAC_OUT2,DAC_OUT
STM32F446RETx,PA5,I2S1_CK,I2S_CK
STM32F446RETx,PA5,SPI1_SCK,SPI_SCK
STM32F446RETx,PA5,TIM2_CH1,TIM_CH
STM32F446RETx,PA5,TIM2_ETR,TIM_ETR
STM32F446RETx,PA5,TIM8_CH1N,TIM_CHN
STM32F446RETx,PA5,USB_OTG_HS_ULPI_CK,USB_OTG_HS_ULPI_CK
STM32F446RETx,PA5,GPIO_Input,GPIO_Input
STM32F446RETx,PA5,GPIO_Output,GPIO_Output
STM32F446RETx,PA5,GPIO_Analog,GPIO_Analog
STM32F446RETx,PA5,EVENTOUT,EVENTOUT
STM32F446RETx,PA5,GPIO_EXTI,GPIO_EXTI
STM32F446RETx,PA6,ADC1_IN6,ADC_IN
STM32F446RETx,PA6,ADC2_IN6,ADC_IN
STM32F446RETx,PA6,DCMI_PIXCLK,DCMI_PIXCLK
STM32F446RETx,PA6,I2S2_MCK,I2S_MCK
STM32F446RETx,PA6,SPI1_MISO,SPI_MISO
STM32F446RETx,PA6,TIM13_CH1,TIM_CH
STM32F446RETx,PA6,TIM1_BKIN,TIM_BKIN
STM32F446RETx,PA6,TIM3_CH1,TIM_CH
STM32F446RETx,PA6,TIM8_BKIN,TIM_BKIN
